"ID","Task","DupChoiceCol","OgChoice","is_chosen","TypeDup","prob_og","prob_dup","psi_prime"
1,1,1,2,FALSE,"phev40",0.14514682495821,0.102239272781901,0.45242
1,1,2,2,TRUE,"phev40",0.820779385611474,0.437308651828098,0.33361
1,1,3,2,FALSE,"bev300",0.0340737894303156,0.02740211959138,0.34868
1,2,1,1,TRUE,"bev100",0.327140037565424,0.209708793292203,0.44364
1,2,2,1,FALSE,"hev",0.454350812676113,0.269460306427818,0.50389
1,2,3,1,FALSE,"bev100",0.218509149758463,0.142574706011369,0.52448
1,3,1,2,FALSE,"phev20",0.442176220515456,0.259350291317521,0.55257
1,3,2,2,TRUE,"bev100",0.515464374642964,0.295527814854991,0.54134
1,3,3,2,FALSE,"cv",0.0423594048415793,0.0340423593284694,0.33896
1,4,1,2,FALSE,"bev300",0.288205420897965,0.190242730519588,0.42052
1,4,2,2,TRUE,"bev150",0.410859947953905,0.246346789925882,0.52302
1,4,3,2,FALSE,"phev40",0.30093463114813,0.193848609000617,0.46347
1,5,1,3,FALSE,"bev150",0.0231508789027966,0.0176936796710794,0.44639
1,5,2,3,FALSE,"bev100",0.288927824970146,0.185186283730262,0.48904
1,5,3,3,TRUE,"phev20",0.687921296127057,0.380051841734824,0.43248
1,6,1,2,FALSE,"bev400",0.21965281358254,0.149215312566953,0.43945
1,6,2,2,TRUE,"bev150",0.615241840139454,0.349390564462481,0.42997
1,6,3,2,FALSE,"hev",0.165105346278006,0.109299369850545,0.54786
1,7,1,3,FALSE,"phev40",0.0938227972632827,0.0709621597217187,0.38115
1,7,2,3,FALSE,"bev400",0.0415864499536714,0.0323103712784585,0.39804
1,7,3,3,TRUE,"cv",0.864590752783046,0.453488224140576,0.32494
1,8,1,2,FALSE,"cv",0.0657431521904067,0.0496060504605768,0.41927
1,8,2,2,TRUE,"phev40",0.648130627233867,0.363468335662771,0.43048
1,8,3,2,FALSE,"bev100",0.286126220575727,0.180800388485139,0.52477
1,9,1,2,FALSE,"phev40",0.208064005152044,0.148458495428283,0.34856
1,9,2,2,TRUE,"phev40",0.75158256265572,0.415289045266938,0.2589
1,9,3,2,FALSE,"cv",0.0403534321922358,0.0342378536800782,0.24449
1,10,1,3,FALSE,"hev",0.139175500579258,0.107450531328061,0.27996
1,10,2,3,FALSE,"bev300",0.069598544040355,0.0496769005787255,0.50851
1,10,3,3,TRUE,"hev",0.791225955380387,0.42996719707001,0.25495
1,11,1,2,FALSE,"bev400",0.316555931192498,0.199279587489117,0.50098
1,11,2,2,TRUE,"phev40",0.47890247315214,0.277313476559066,0.55124
1,11,3,2,FALSE,"bev100",0.204541595655362,0.136989529338667,0.48594
1,12,1,2,FALSE,"cv",0.262828857496011,0.166001552355254,0.54913
1,12,2,2,TRUE,"bev100",0.210543519979034,0.140053681210591,0.49337
1,12,3,2,FALSE,"bev400",0.526627622524955,0.305972890081851,0.47752
1,13,1,1,TRUE,"bev400",0.763873800985223,0.412682949043577,0.39866
1,13,2,1,FALSE,"bev100",0.0300249543459574,0.0225411898224953,0.46746
1,13,3,1,FALSE,"bev100",0.206101244668819,0.138081939068134,0.48355
1,14,1,1,TRUE,"cv",0.5621976126519,0.328843415823507,0.39393
1,14,2,1,FALSE,"bev400",0.383299314507188,0.238290769410095,0.45411
1,14,3,1,FALSE,"cv",0.0545030728409121,0.0453928405147599,0.25755
1,15,1,1,TRUE,"bev300",0.387027501753576,0.240553535442304,0.44996
1,15,2,1,FALSE,"phev20",0.0978559115399922,0.0742116960893154,0.37114
1,15,3,1,FALSE,"hev",0.515116586706432,0.306834491314014,0.40218
2,1,1,3,FALSE,"bev100",0.0288866919281381,0.0238746040856058,0.30817
2,1,2,3,FALSE,"bev100",0.789718801519037,0.430410834300889,0.2337
2,1,3,3,TRUE,"bev150",0.181394506552825,0.133996936745135,0.31101
2,2,1,2,FALSE,"bev100",0.0385956952335649,0.0306717289292272,0.36329
2,2,2,2,TRUE,"bev400",0.470128519070123,0.279895930793912,0.47084
2,2,3,2,FALSE,"phev20",0.491275785696312,0.290750325773256,0.46164
2,3,1,3,FALSE,"phev40",0.710812483453311,0.390840467145356,0.41018
2,3,2,3,FALSE,"bev400",0.17251093507789,0.115976678480329,0.51176
2,3,3,3,TRUE,"bev300",0.1166765814688,0.0850786496832058,0.42054
2,4,1,1,TRUE,"bev400",0.374293929299397,0.238434200596099,0.39808
2,4,2,1,FALSE,"phev20",0.167226932448034,0.110669689370015,0.54646
2,4,3,1,FALSE,"bev150",0.458479138252569,0.28098996817246,0.39199
2,5,1,1,TRUE,"bev300",0.652762796064339,0.368566138844265,0.3848
2,5,2,1,FALSE,"phev40",0.0536921231715846,0.0447127678038608,0.25895
2,5,3,1,FALSE,"cv",0.293545080764076,0.192652865764232,0.42763
2,6,1,3,FALSE,"bev300",0.206410166409345,0.147368701826705,0.34948
2,6,2,3,FALSE,"phev40",0.369765226234801,0.230569878819564,0.46292
2,6,3,3,TRUE,"bev400",0.423824607355855,0.253130446946158,0.51934
2,7,1,3,FALSE,"bev150",0.142949600063723,0.100682644755465,0.45504
2,7,2,3,FALSE,"bev400",0.782738810130367,0.425975504328723,0.27444
2,7,3,3,TRUE,"bev400",0.0743115898059103,0.0634826617997285,0.17769
2,8,1,3,FALSE,"hev",0.698017576548058,0.395677753313983,0.24811
2,8,2,3,FALSE,"bev150",0.106294540378845,0.0782938247442623,0.4143
